iter	Passed	Remaining
478	618	672
479	619	670
480	620	669
481	621	667
482	622	666
483	623	665
484	624	663
485	625	661
486	626	660
487	627	658
488	628	656
489	628	654
490	630	653
491	631	652
492	632	650
493	633	648
494	634	647
495	635	645
496	636	644
497	637	642
498	638	641
499	639	639
500	640	637
501	641	636
502	642	635
503	643	633
504	644	631
505	645	629
506	646	628
507	646	626
508	648	625
509	649	623
510	650	622
511	651	620
512	652	618
513	652	617
514	653	615
515	655	614
516	656	612
517	657	611
518	657	609
519	658	608
520	659	606
521	660	604
522	661	603
523	662	601
524	663	600
525	664	598
526	664	596
527	666	595
528	667	594
529	668	593
530	669	591
531	670	589
532	671	588
533	672	586
534	673	585
535	674	583
536	675	582
537	676	580
538	677	579
539	678	577
540	679	576
541	680	574
542	681	573
543	682	571
544	683	570
545	683	568
546	684	567
547	685	565
548	686	564
549	687	562
550	688	561
551	689	559
552	690	557
553	691	556
554	692	555
555	693	553
556	694	552
557	695	550
558	695	548
559	696	547
560	697	545
561	698	544
562	699	542
563	700	541
564	700	539
565	701	538
566	702	536
567	703	535
568	705	534
569	706	532
570	706	531
571	707	529
572	708	527
573	709	526
574	711	525
575	712	524
576	712	522
577	713	521
578	714	519
579	715	517
580	716	516
581	718	515
582	719	514
583	720	512
584	720	511
585	721	509
586	722	508
587	723	507
588	725	506
589	726	504
590	727	503
591	727	501
592	728	500
593	730	499
594	730	497
595	731	496
596	732	494
597	733	493
598	734	491
599	735	490
600	736	488
601	737	487
602	738	486
603	739	484
604	739	483
605	740	481
606	741	480
607	742	478
608	743	477
609	744	476
610	745	474
611	746	473
612	747	471
613	748	470
614	749	469
615	750	467
616	751	466
617	752	465
618	753	463
619	754	462
620	755	461
621	756	459
622	757	458
623	758	456
624	758	455
625	759	453
626	760	452
627	761	451
628	762	449
629	763	448
630	764	446
631	765	445
632	765	444
633	766	442
634	768	441
635	768	440
636	769	438
637	770	437
638	771	435
639	771	434
640	772	432
641	773	431
642	774	430
643	775	428
644	776	427
645	777	425
646	777	424
647	778	422
648	779	421
649	780	420
650	781	419
651	782	417
652	783	416
653	784	414
654	784	413
655	785	412
656	787	410
657	788	409
658	788	408
659	789	406
660	790	405
661	791	403
662	791	402
663	793	401
664	794	400
665	795	398
666	796	397
667	796	396
668	797	394
669	798	393
670	799	392
671	800	390
672	801	389
673	802	387
674	802	386
675	803	385
676	804	383
677	805	382
678	806	381
679	807	379
680	808	378
681	809	377
682	809	375
683	810	374
684	812	373
685	812	372
686	813	370
687	814	369
688	815	368
689	816	366
690	816	365
691	817	364
692	818	362
693	819	361
694	820	360
695	821	358
696	822	357
697	822	356
698	824	354
699	824	353
700	825	352
701	826	350
702	827	349
703	828	348
704	828	346
705	829	345
706	830	344
707	831	343
708	832	341
709	833	340
710	834	339
711	834	337
712	835	336
713	836	335
714	838	334
715	839	332
716	840	331
717	840	330
718	841	328
719	842	327
720	843	326
721	844	325
722	845	324
723	846	322
724	847	321
725	848	320
726	849	319
727	850	317
728	851	316
729	852	315
730	853	314
731	854	312
732	854	311
733	856	310
734	857	309
735	858	307
736	858	306
737	859	305
738	860	303
739	861	302
740	862	301
741	863	300
742	864	299
743	865	297
744	866	296
745	867	295
746	868	294
747	869	293
748	870	291
749	871	290
750	872	289
751	873	288
752	874	286
753	875	285
754	876	284
755	877	283
756	878	281
757	879	280
758	880	279
759	881	278
760	882	277
761	883	275
762	884	274
763	885	273
764	885	272
765	886	270
766	887	269
767	888	268
768	889	267
769	890	265
770	890	264
771	891	263
772	892	262
773	893	260
774	894	259
775	895	258
776	896	257
777	897	256
778	898	254
779	898	253
780	899	252
781	900	251
782	901	249
783	902	248
784	903	247
785	903	246
786	904	244
787	905	243
788	906	242
789	907	241
790	908	239
791	909	238
792	910	237
793	910	236
794	911	235
795	912	233
796	913	232
797	914	231
798	915	230
799	916	229
800	916	227
801	917	226
802	918	225
803	919	224
804	920	222
805	921	221
806	921	220
807	922	219
808	923	218
809	924	216
810	926	215
811	926	214
812	927	213
813	928	212
814	929	210
815	930	209
816	930	208
817	932	207
818	933	206
819	934	205
820	935	203
821	935	202
822	936	201
823	938	200
824	938	199
825	939	197
826	940	196
827	941	195
828	942	194
829	942	193
830	943	191
831	945	190
832	945	189
833	946	188
834	947	187
835	948	186
836	949	184
837	949	183
838	951	182
839	951	181
840	952	180
841	953	178
842	954	177
843	955	176
844	955	175
845	957	174
846	958	173
847	959	171
848	959	170
849	960	169
850	961	168
851	962	167
852	963	166
853	964	164
854	965	163
855	965	162
856	966	161
857	967	160
858	968	158
859	970	157
860	970	156
861	971	155
862	972	154
863	973	153
864	974	152
865	975	150
866	976	149
867	977	148
868	977	147
869	978	146
870	979	145
871	980	143
872	981	142
873	982	141
874	983	140
875	984	139
876	984	138
877	985	136
878	986	135
879	987	134
880	988	133
881	989	132
882	990	131
883	990	130
884	991	128
885	992	127
886	993	126
887	993	125
888	995	124
889	996	123
890	996	121
891	997	120
892	998	119
893	999	118
894	999	117
895	1001	116
896	1002	115
897	1003	113
898	1003	112
899	1004	111
900	1005	110
901	1006	109
902	1007	108
903	1008	107
904	1009	106
905	1011	104
906	1011	103
907	1012	102
908	1014	101
909	1015	100
910	1016	99
911	1017	98
912	1018	97
913	1018	95
914	1020	94
915	1021	93
916	1022	92
917	1023	91
918	1023	90
919	1024	89
920	1025	87
921	1026	86
922	1027	85
923	1028	84
924	1029	83
925	1030	82
926	1031	81
927	1031	80
928	1033	78
929	1034	77
930	1035	76
931	1035	75
932	1036	74
933	1037	73
934	1038	72
935	1039	71
936	1040	69
937	1041	68
938	1042	67
939	1043	66
940	1043	65
941	1044	64
942	1045	63
943	1046	62
944	1047	60
945	1048	59
946	1049	58
947	1050	57
948	1051	56
949	1052	55
950	1053	54
951	1054	53
952	1055	52
953	1056	50
954	1057	49
955	1058	48
956	1059	47
957	1060	46
958	1061	45
959	1062	44
960	1063	43
961	1064	42
962	1065	40
963	1066	39
964	1067	38
965	1068	37
966	1070	36
967	1071	35
968	1072	34
969	1073	33
970	1074	32
971	1075	30
972	1076	29
973	1077	28
974	1078	27
975	1079	26
976	1080	25
977	1081	24
978	1083	23
979	1083	22
980	1084	21
981	1085	19
982	1087	18
983	1088	17
984	1090	16
985	1091	15
986	1092	14
987	1093	13
988	1095	12
989	1096	11
990	1097	9
991	1098	8
992	1099	7
993	1100	6
994	1101	5
995	1102	4
996	1103	3
997	1104	2
998	1105	1
999	1106	0
